epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,56.3238,1.93952,3.71433,1.57979,0.0029,0.87075,0.214,0.08976,1.8589,4.42186,1.47151,0.00064,0.00064,0.00064
2,103.509,1.92907,2.93455,1.55119,0.39737,0.18367,0.16499,0.06556,2.26129,4.53041,1.90871,0.00129356,0.00129356,0.00129356
3,147.315,1.97975,2.62869,1.68216,0.39161,0.27211,0.22873,0.08672,2.09695,3.89262,2.01137,0.0019406,0.0019406,0.0019406
4,192.457,1.94628,2.25842,1.6626,0.29198,0.14966,0.09645,0.03606,2.44966,4.78281,2.36985,0.0019703,0.0019703,0.0019703
5,240.587,1.88464,2.05785,1.6323,0.5308,0.47715,0.48621,0.216,1.77079,3.56641,1.65378,0.0019604,0.0019604,0.0019604
6,294.942,1.81417,1.91233,1.55946,0.70407,0.51793,0.59278,0.24346,1.90488,2.06269,1.70817,0.0019505,0.0019505,0.0019505
7,345.38,1.81325,1.74713,1.53961,0.52147,0.34843,0.35984,0.1276,2.15187,2.92652,1.86436,0.0019406,0.0019406,0.0019406
8,403.767,1.8199,1.64794,1.55443,0.40894,0.46259,0.29956,0.11672,2.14112,2.40847,1.80802,0.0019307,0.0019307,0.0019307
9,459.984,1.75359,1.55962,1.51449,0.54725,0.46939,0.4582,0.19546,1.93857,2.10484,1.66505,0.0019208,0.0019208,0.0019208
10,505.99,1.75103,1.4748,1.52452,0.31539,0.43876,0.26719,0.10278,2.11069,2.51296,1.91626,0.0019109,0.0019109,0.0019109
11,555.896,1.70136,1.36086,1.46602,0.69096,0.57823,0.60156,0.26748,2.01419,1.73074,1.65058,0.001901,0.001901,0.001901
12,600.363,1.75111,1.43666,1.49258,0.43809,0.39456,0.30788,0.11845,2.32374,2.40927,1.838,0.0018911,0.0018911,0.0018911
13,640.806,1.71845,1.41929,1.49052,0.476,0.53061,0.47407,0.22688,1.83363,1.90592,1.59451,0.0018812,0.0018812,0.0018812
14,683.873,1.71162,1.35,1.46941,0.71999,0.71429,0.69882,0.30292,1.84485,1.47472,1.58922,0.0018713,0.0018713,0.0018713
15,726.661,1.68212,1.31586,1.46437,0.75121,0.63265,0.74055,0.3399,1.80691,1.44416,1.58237,0.0018614,0.0018614,0.0018614
16,768.967,1.61695,1.22732,1.41476,0.80706,0.68027,0.7868,0.3868,1.75514,1.31148,1.52047,0.0018515,0.0018515,0.0018515
17,809.619,1.62778,1.2326,1.45291,0.73801,0.76654,0.78195,0.40235,1.6543,1.29989,1.47341,0.0018416,0.0018416,0.0018416
18,849.901,1.61395,1.19393,1.42996,0.41752,0.40136,0.3568,0.1979,1.90599,2.2888,1.83732,0.0018317,0.0018317,0.0018317
19,890.619,1.62733,1.24659,1.45161,0.7834,0.68707,0.76074,0.37796,1.74001,1.31724,1.53874,0.0018218,0.0018218,0.0018218
20,935.147,1.62481,1.2243,1.41602,0.71749,0.70068,0.73291,0.31887,1.79876,1.5249,1.51797,0.0018119,0.0018119,0.0018119
21,987.176,1.55267,1.08902,1.37704,0.56449,0.4966,0.51156,0.24778,1.87777,2.23527,1.65828,0.001802,0.001802,0.001802
22,1028.49,1.62044,1.16975,1.421,0.70692,0.72109,0.74376,0.35039,1.73203,1.33507,1.57331,0.0017921,0.0017921,0.0017921
23,1069.7,1.58395,1.15631,1.38007,0.71465,0.76668,0.77399,0.35524,1.76391,1.30096,1.5882,0.0017822,0.0017822,0.0017822
24,1113.23,1.62123,1.14747,1.40365,0.56478,0.54422,0.52212,0.21834,2.08095,1.6879,1.69602,0.0017723,0.0017723,0.0017723
25,1154.55,1.62706,1.17393,1.40069,0.72449,0.67978,0.76909,0.36333,1.76717,1.35979,1.54073,0.0017624,0.0017624,0.0017624
26,1195.62,1.56527,1.09765,1.38081,0.44431,0.38619,0.36205,0.19514,1.92976,2.33722,1.65991,0.0017525,0.0017525,0.0017525
27,1236.69,1.54689,1.07603,1.36838,0.75306,0.80272,0.83907,0.44256,1.71509,1.16731,1.48261,0.0017426,0.0017426,0.0017426
28,1280.62,1.50341,1.07337,1.35658,0.70716,0.7721,0.78937,0.38103,1.73977,1.27203,1.51092,0.0017327,0.0017327,0.0017327
29,1321.8,1.50908,1.08806,1.35478,0.78439,0.79195,0.83358,0.41282,1.68842,1.2267,1.4893,0.0017228,0.0017228,0.0017228
30,1362.99,1.58216,1.11838,1.38284,0.61494,0.71702,0.69251,0.31898,1.85389,1.29279,1.54663,0.0017129,0.0017129,0.0017129
31,1404.29,1.51724,1.05952,1.34787,0.67791,0.82313,0.77666,0.37875,1.79509,1.25843,1.56144,0.001703,0.001703,0.001703
32,1448.13,1.48883,1.04454,1.34735,0.76659,0.79592,0.83789,0.42199,1.61598,1.14046,1.4718,0.0016931,0.0016931,0.0016931
33,1489.57,1.47822,1.05391,1.33996,0.79271,0.83673,0.88587,0.47603,1.61054,1.05758,1.43442,0.0016832,0.0016832,0.0016832
34,1530.75,1.51621,1.01459,1.32936,0.72314,0.76404,0.77944,0.38593,1.74836,1.18689,1.51982,0.0016733,0.0016733,0.0016733
35,1571.61,1.53079,1.03541,1.33562,0.81071,0.80952,0.86874,0.45801,1.61519,1.01738,1.423,0.0016634,0.0016634,0.0016634
36,1615.35,1.49165,1.04786,1.35221,0.72543,0.77286,0.80205,0.41986,1.62093,1.16992,1.41451,0.0016535,0.0016535,0.0016535
37,1656.01,1.45626,1.02368,1.31852,0.68968,0.7483,0.72244,0.37377,1.72637,1.213,1.47058,0.0016436,0.0016436,0.0016436
38,1697.02,1.42876,0.94954,1.30389,0.83746,0.84121,0.86113,0.4273,1.67116,1.07312,1.45062,0.0016337,0.0016337,0.0016337
39,1738.19,1.5259,1.00313,1.36166,0.78051,0.80272,0.86594,0.4419,1.72197,1.04107,1.46037,0.0016238,0.0016238,0.0016238
40,1781.82,1.4656,1.0007,1.30285,0.72143,0.72789,0.74358,0.36113,1.71142,1.23031,1.4904,0.0016139,0.0016139,0.0016139
41,1823.08,1.49411,1.0385,1.32265,0.65757,0.7619,0.72137,0.34993,1.71163,1.31018,1.46032,0.001604,0.001604,0.001604
42,1864.08,1.54883,1.09558,1.35694,0.49953,0.57823,0.51548,0.26323,1.59832,1.72742,1.45863,0.0015941,0.0015941,0.0015941
43,1904.24,1.46322,1.00027,1.31532,0.83395,0.81997,0.8758,0.46222,1.63239,0.99218,1.43766,0.0015842,0.0015842,0.0015842
44,1943.56,1.47707,0.95481,1.31914,0.72101,0.77354,0.7745,0.37613,1.77641,1.22638,1.52508,0.0015743,0.0015743,0.0015743
45,1982.56,1.51133,0.99059,1.32688,0.74596,0.79592,0.82297,0.42029,1.748,1.01521,1.54988,0.0015644,0.0015644,0.0015644
46,2022,1.46469,0.98975,1.32513,0.80599,0.7619,0.79849,0.38868,1.74202,1.15621,1.49815,0.0015545,0.0015545,0.0015545
47,2060.94,1.39658,0.95921,1.26005,0.86275,0.76969,0.86185,0.47023,1.61063,1.0299,1.4401,0.0015446,0.0015446,0.0015446
48,2100.03,1.39572,0.87758,1.25721,0.75182,0.78912,0.8633,0.46328,1.60554,1.00676,1.43124,0.0015347,0.0015347,0.0015347
